Click_Y,Y_Top,Y_Bottom,Dist_Y_Top,Dist_Y_Bottom, Accuracy, Gap
343.4,272,412,71.4,68.6,0.6,0.7
399.4,326,466,73.4,66.6,0.7,0.7
532.4,446,586,86.4,53.6,0.8,0.7
513.6,408,548,105.6,34.4,0.9,0.7
232.2,44,184,188.2,-48.2,-0.3,0.7
233.2,58,198,175.2,-35.2,-0.1,0.7
238.4,32,172,206.4,-66.4,-0.5,0.7
310.0,204,344,106.0,34.0,0.9,0.7
537.2,452,592,85.2,54.8,0.8,0.7
532.2,437,577,95.2,44.8,1.0,0.7
307.8,196,336,111.8,28.2,0.8,0.7
232.2,35,175,197.2,-57.2,-0.4,0.7
483.4,372,512,111.4,28.6,0.8,0.7
480.0,347,487,133.0,7.0,0.5,0.7
306.8,196,336,110.8,29.2,0.8,0.7
312.2,221,361,91.2,48.8,0.9,0.7
403.2,342,482,61.2,78.8,0.5,0.7
389.6,314,454,75.6,64.4,0.7,0.7
355.8,275,415,80.8,59.2,0.8,0.7
540.8,459,599,81.8,58.2,0.8,0.7
308.8,230,370,78.8,61.2,0.7,0.7
236.0,105,245,131.0,9.0,0.5,0.7
489.2,393,533,96.2,43.8,1.0,0.7
313.2,225,365,88.2,51.8,0.9,0.7
308.2,205,345,103.2,36.8,0.9,0.7
391.4,315,455,76.4,63.6,0.7,0.7
542.6,467,607,75.6,64.4,0.7,0.7
311.8,235,375,76.8,63.2,0.7,0.7
543.8,486,626,57.8,82.2,0.4,0.7
249.0,137,277,112.0,28.0,0.8,0.7
542.2,481,621,61.2,78.8,0.5,0.7
235.2,92,232,143.2,-3.2,0.4,0.7
488.4,400,540,88.4,51.6,0.9,0.7
234.0,91,231,143.0,-3.0,0.4,0.7
310.8,180,320,130.8,9.2,0.5,0.7
520.6,420,560,100.6,39.4,1.0,0.7
479.8,359,499,120.8,19.2,0.7,0.7
512.0,406,546,106.0,34.0,0.9,0.7
382.6,285,425,97.6,42.4,1.0,0.7
249.8,135,275,114.8,25.2,0.8,0.7
484.0,386,526,98.0,42.0,1.0,0.7
389.6,290,430,99.6,40.4,1.0,0.7
540.8,490,630,50.8,89.2,0.3,0.7
388.8,297,437,91.8,48.2,0.9,0.7
399.4,345,485,54.4,85.6,0.4,0.7
381.0,289,429,92.0,48.0,0.9,0.7
311.6,224,364,87.6,52.4,0.9,0.7
486.6,380,520,106.6,33.4,0.9,0.7
484.0,373,513,111.0,29.0,0.8,0.7
537.0,440,580,97.0,43.0,1.0,0.7
485.2,387,527,98.2,41.8,1.0,0.7
539.2,471,611,68.2,71.8,0.6,0.7
402.2,342,482,60.2,79.8,0.5,0.7
539.8,497,637,42.8,97.2,0.2,0.7
306.6,183,323,123.6,16.4,0.6,0.7
341.4,250,390,91.4,48.6,0.9,0.7
238.6,25,165,213.6,-73.6,-0.6,0.7
231.2,52,192,179.2,-39.2,-0.1,0.7
389.2,300,440,89.2,50.8,0.9,0.7
339.8,268,408,71.8,68.2,0.6,0.7
250.4,141,281,109.4,30.6,0.8,0.7
484.0,366,506,118.0,22.0,0.7,0.7
488.8,402,542,86.8,53.2,0.8,0.7
