Click_Y,Y_Top,Y_Bottom,Dist_Y_Top,Dist_Y_Bottom,Accuracy,Gap
336.2,252.0,392.0,84.2,55.8,0.6166,0.7
272.4,166.0,306.0,106.4,33.6,0.7666,0.7
507.2,453.0,593.0,54.2,85.8,-0.2166,0.7
235.2,102.0,242.0,133.2,6.8,0.0222,0.7
534.2,433.0,573.0,101.2,38.8,0.9112,0.7
229.8,46.0,186.0,183.8,-43.8,-1.3834,0.7
236.2,109.0,249.0,127.2,12.8,0.1888,0.7
535.8,442.0,582.0,93.8,46.2,0.8834,0.7
516.0,412.0,552.0,104.0,36.0,0.8334,0.7
339.0,255.0,395.0,84.0,56.0,0.6112,0.7
481.0,360.0,500.0,121.0,19.0,0.3612,0.7
390.6,307.0,447.0,83.6,56.4,0.6,0.7
262.8,147.0,287.0,115.8,24.2,0.5056,0.7
311.8,216.0,356.0,95.8,44.2,0.9388,0.7
311.8,234.0,374.0,77.8,62.2,0.4388,0.7
482.0,351.0,491.0,131.0,9.0,0.0834,0.7
310.6,203.0,343.0,107.6,32.4,0.7334,0.7
237.2,118.0,258.0,119.2,20.8,0.4112,0.7
311.8,229.0,369.0,82.8,57.2,0.5778,0.7
236.0,110.0,250.0,126.0,14.0,0.2222,0.7
311.0,227.0,367.0,84.0,56.0,0.6112,0.7
235.2,106.0,246.0,129.2,10.8,0.1334,0.7
340.6,265.0,405.0,75.6,64.4,0.3778,0.7
249.8,128.0,268.0,121.8,18.2,0.3388,0.7
311.4,237.0,377.0,74.4,65.6,0.3444,0.7
511.6,407.0,547.0,104.6,35.4,0.8166,0.7
275.6,125.0,265.0,150.6,-10.6,-0.4612,0.7
401.0,327.0,467.0,74.0,66.0,0.3334,0.7
268.2,151.0,291.0,117.2,22.8,0.4666,0.7
311.8,228.0,368.0,83.8,56.2,0.6056,0.7
543.8,463.0,603.0,80.8,59.2,0.5222,0.7
310.8,202.0,342.0,108.8,31.2,0.7,0.7
542.2,486.0,626.0,56.2,83.8,-0.1612,0.7
269.0,149.0,289.0,120.0,20.0,0.3888,0.7
356.4,277.0,417.0,79.4,60.6,0.4834,0.7
541.4,486.0,626.0,55.4,84.6,-0.1834,0.7
481.2,357.0,497.0,124.2,15.8,0.2722,0.7
231.0,40.0,180.0,191.0,-51.0,-1.5834,0.7
520.2,423.0,563.0,97.2,42.8,0.9778,0.7
251.4,140.0,280.0,111.4,28.6,0.6278,0.7
237.2,78.0,218.0,159.2,-19.2,-0.7,0.7
379.6,287.0,427.0,92.6,47.4,0.85,0.7
341.8,273.0,413.0,68.8,71.2,0.1888,0.7
341.8,254.0,394.0,87.8,52.2,0.7166,0.7
402.8,334.0,474.0,68.8,71.2,0.1888,0.7
402.8,342.0,482.0,60.8,79.2,-0.0334,0.7
535.8,448.0,588.0,87.8,52.2,0.7166,0.7
484.0,379.0,519.0,105.0,35.0,0.8056,0.7
249.6,136.0,276.0,113.6,26.4,0.5666,0.7
232.2,57.0,197.0,175.2,-35.2,-1.1444,0.7
541.8,482.0,622.0,59.8,80.2,-0.0612,0.7
339.8,253.0,393.0,86.8,53.2,0.6888,0.7
540.0,500.0,640.0,40.0,100.0,-0.6112,0.7
236.2,115.0,255.0,121.2,18.8,0.3556,0.7
541.4,469.0,609.0,72.4,67.6,0.2888,0.7
